1,CS,101,Introduction to Computer Science Principles
2,CS,111,Introduction to Computer Science I: Java
3,CS,112,Introduction to Computer Science II: Java
4,CS,113,Basic Data Structures and Algorithms
5,CS,138,Programming with Python
6,CS,150,C++ Programming
7,CS,155,C# and the .NET Framework
8,CS,220,Computer Architecture and Assembly Language
9,CS,299,Cooperative Work Experience
