2680,Fall 2019,1,1
3083,Fall 2019,1,11
1677,Fall 2019,2,5
1679,Fall 2019,2,10
1902,Fall 2019,2,1
2005,Fall 2019,2,3
2125,Fall 2019,2,2
2127,Fall 2019,2,11
2219,Fall 2019,2,11
2426,Fall 2019,2,4
1685,Fall 2019,3,2
2055,Fall 2019,3,3
2331,Fall 2019,3,7
2256,Fall 2019,4,8
2453,Fall 2019,4,5
2091,Fall 2019,5,6
1842,Fall 2019,6,3
1683,Fall 2019,6,9
2254,Fall 2019,7,6
2367,Fall 2019,8,2
2633,Fall 2019,9,11
